2019-09-01 12:39:07
Running ./matvec_openmp
Run on (96 X 2101 MHz CPU s)
CPU Caches:
  L1 Data 32K (x48)
  L1 Instruction 32K (x48)
  L2 Unified 1024K (x48)
  L3 Unified 33792K (x2)
Load Average: 0.00, 0.01, 0.08
***WARNING*** Library was built as DEBUG. Timings may be affected.
---------------------------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations UserCounters...
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         350059590 ns    349196663 ns            2 bytes_per_second=213.406G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         350207862 ns    349371906 ns            2 bytes_per_second=213.299G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         350135182 ns    349291159 ns            2 bytes_per_second=213.348G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349750819 ns    348915765 ns            2 bytes_per_second=213.578G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349602182 ns    348767653 ns            2 bytes_per_second=213.669G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349365584 ns    348531581 ns            2 bytes_per_second=213.813G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349218909 ns    348377538 ns            2 bytes_per_second=213.908G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349301253 ns    348467298 ns            2 bytes_per_second=213.853G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349194818 ns    348361424 ns            2 bytes_per_second=213.918G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349073212 ns    348239848 ns            2 bytes_per_second=213.992G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         350267448 ns    349421944 ns            2 bytes_per_second=213.269G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349137622 ns    348304083 ns            2 bytes_per_second=213.953G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         349518920 ns    348684516 ns            2 bytes_per_second=213.72G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         350434860 ns    349598071 ns            2 bytes_per_second=213.161G/s repeats=1
BM_MDSpan_OpenMP_MatVec_Raw_Right/right         348762461 ns    347922488 ns            2 bytes_per_second=214.188G/s repeats=1
